ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
REQUEST	FindFlight_tx	bootstrap.min.js	1670494313487	1670494313746	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494313488	1670494313760	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494313489	1670494313762	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494313490	1670494313767	OK	 
GROUP	FindFlight_tx	1670494313043	1670494313769	708	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494318784	1670494319145	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494319157	1670494319417	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494319155	1670494319419	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494319153	1670494319426	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494319154	1670494319427	OK	 
GROUP	SelectFlight_tx	1670494318784	1670494319428	637	OK
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324446	1670494325126	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324442	1670494325126	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324445	1670494325127	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324442	1670494325147	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324446	1670494325145	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324444	1670494325147	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324442	1670494325159	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324446	1670494325162	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324444	1670494325162	OK	 
REQUEST	PurchaseTickets_tx	purchaseTicket_request	1670494324442	1670494325184	OK	 
REQUEST	PurchaseTickets_tx	bootstrap-table.css	1670494325222	1670494325469	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325221	1670494325474	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325219	1670494325479	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325224	1670494325481	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325230	1670494325486	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.js	1670494325219	1670494325486	OK	 
REQUEST	PurchaseTickets_tx	bootstrap.min.css	1670494325227	1670494325490	OK	 
